"מספר סעיף","שם סעיף","הסבר","שם המשרד"
6006,"חידוש מבנים","התקציב מיועד למימון שיפוצים יסודיים במבנים קיימים. מטרת השיפוצים לאפשר שימוש נכון ובטוח 
במבנים קיימים לאורך זמן. תוכנית זו כוללת, בין היתר, תקצוב  47 מיליון ש""ח להנגשת מוסדות חינוך, 
וזאת במסגרת תכנית רב-שנתית להנגשת כל מוסדות החינוך הקיימים לאנשים עם מוגבלויות,  וכן 60
מיליון ש""ח לחיזוק מבני חינוך קיימים בפני רעידות אדמה,  במסגרת תכנית רב-שנתית עפ""י החלטת 
ממשלה 4331 משנת 2008. ","חינוך"
70101,"שיא כח אדם","הוצאות שכר ונלוות של כ-175 עובדי המשרד לביטחון הפנים.","בטחון פנים"
70104,"שירותים מרכזיים","בתוכנית זו נכללות, בין השאר, הפעולות הבאות: הסברה, מחקר ופיתוח, עיר ללא אלימות, תוכנית מציל״ה.","בטחון פנים"
70105," קרן בלאי רכב במשטרת ישראל","תקציב קרן להחלפת כלי הרכב של משטרת ישראל על פי לוחות זמנים קבועים במטרה לשמר צי רכב יציב ומתפקד.","בטחון פנים"
70106," הרשות למלחמה בסמים ובאלכוהול","תוכנית זו כוללת את תקציב הפעילות של הרשות למלחמה בסמים ובאלכוהול","בטחון פנים"
720,"תחום פעולה הרשות להגנה על עדים",,"בטחון פנים"
72001," הרשות להגנה על עדים",,"בטחון פנים"
72002," שירותים מרכזיים","תקציב זה נמצא באחריות המשרד לביטחון הפנים ומיועד לתקצוב הרשות להגנה על עדים. התוכניות כוללת את תקציבי השכר והקניות של הרשות","בטחון פנים"
5210,"תחום פעולה תקציב פיתוח של המשרד לביטחון הפנים","תקציב זה נמצא באחריות יחידת הפרויקטים של המשרד ומיועד בעיקרו לתקצוב בינוי תחנות משטרה.","בטחון פנים"
702,"תחום פעולה משטרת ישראל וזרועותיה","תחום זה משמש כתקציב הקניות והשכר של משטרת ישראל. 070211","בטחון פנים"
70211,"כח אדם","תוכנית זו מתקצבת את הוצאות השכר והנלוות של השוטרים המשרתים במשטרת ישראל. בתוכנית זו נכללים, בין השאר, שוטרי קבע, שוטרי חובה (משמר הגבול ושוטרי חובה מיוחד (שח״מ)), בני שירות לאומי ואזרחי ונציגים הנמצאים בחוץ לארץ","בטחון פנים"
70221," המטה הארצי","בתוכנית זו נכללות, בין השאר, הפעולות הבאות: פעילות המעבדה לזיהוי פלילי (מז״פ), תפעול הצטיידות אגף המבצעים, אחזקת מסוקים, רכישת נשק וציוד לוחמה.","בטחון פנים"
70222," אמרכלות משטרת ישראל","בתוכנית זו נכללות, בין השאר, הפעולות הבאות: קניית מדים וציוד אישי, דמי שימוש בנכסי המדינה, כלכלת שוטרים, תשלומים עבור חשמל, מים ארנונה ועוד, קניית טפסים וציוד משרדי, שכירות, תיקונים וביטוח כלי רכב, דלק, תקציב הדרכה ותרבות, תקציבי קניות שירותים, פרויקט מתנדבי תנועת ״אור ירוק״, תשלומי פיצויים ותביעות.","בטחון פנים"
70223," עיבוד נתונים, תקשורת","עיקר התקציב בתוכנית זו מיועד למינהל טכנולוגיות (מנ״ט) ומוקצה, בין השאר, עבור אחזקת ציוד חומרה ואחזקת ציוד קשר.","בטחון פנים"
70224," רכישת שירותי כח אדם","בתוכנית זו נכללות, בין השאר, הפעולות הבאות: צרכים שונים הקשורים לאבטחת מוסדות חינוך, שומרים במתקני משטרה, מאבטחים בעוטף ירושלים.","בטחון פנים"
70227," הוצאה לפועל כח אדם","תקצוב כח אדם המופנה של יחידת ההוצאה לפועל.","בטחון פנים"
70228," הוצאה לפועל אמרכלות","תקצוב הוצאות האמרכלות של יחידת ההוצאה לפועל","בטחון פנים"
70230," פרויקטים לתנועה - שכר","תוכניות אלו מתקצבות השתתפות של משרד התחבורה והרשות הלאומית לבטיחות הדרכים בתקציב משטרת ישראל עבור שוטרים באגף התנועה לאכיפת חוקי התנועה.","בטחון פנים"
70231," פרויקטים לתנועה - אמרכלות","תוכניות אלו מתקצבות השתתפות של משרד התחבורה והרשות הלאומית לבטיחות הדרכים בתקציב משטרת ישראל עבור שוטרים באגף התנועה לאכיפת חוקי התנועה.","בטחון פנים"
70260," אבטחת מתקנים ופלוגות-שכר","תוכניות אלה נועדו לתקצוב השתתפות משרד הביטחון במשרד לביטחון הפנים עבור משמר הגבול תחת פיקוד צה״ל ועבור אבטחת מתקנים.","בטחון פנים"
70261," אבטחת מתקנים ופלוגות-קניות","תוכניות אלה נועדו לתקצוב השתתפות משרד הביטחון במשרד לביטחון הפנים עבור משמר הגבול תחת פיקוד צה״ל ועבור אבטחת מתקנים.","בטחון פנים"
70270," שוטרים במוסדות ציבור - שכר","בתוכניות אלו מתוקצבת הצבת שוטרים במוסדות ציבוריים בין היתר בתי חולים, עיריות, ביטוח לאומי בהוצאה מותנית בהכנסה","בטחון פנים"
70271," שוטרים במוסדות ציבור - אמרכלות","בתוכניות אלו מתוקצבת הצבת שוטרים במוסדות ציבוריים בין היתר בתי חולים, עיריות, ביטוח לאומי בהוצאה מותנית בהכנסה","בטחון פנים"
70280,"תוכנית למאבק בפשיעה החמורה והמאורגנת","בהתאם להחלטת ממשלה מספר 4618 מיום 1/1/2006 ובמטרה לקבוע את המאבק בפשיעה החמורה והמאורגנת כיעד ארוך טווח סוכם בשנת 2007 בין משרד האוצר, משרד לביטחון הפנים ומשרדים נוספים על יישום תוכנית משולבת למאבק בארגוני הפשיעה החמורה והמאורגנת. מקור ההכנסה המיועדת הינה מקרן החילוט שהוקמה לפי סעיף 36ח(א) לפקודת המסים המסוכנים.","בטחון פנים"
71501," גמלאות משטרה","בתוכנית זו נכללים תשלומי גמלאות לפורשי משטרת ישראל, מענקי פרישה ותשלומי היוון","בטחון פנים"
5201,"תחום פעולה ״תקציב פיתוח - משטרת ישראל","תחום זה משמש כתקציב הקניות של משטרת ישראל","בטחון פנים"
520106,"תוכנית פרויקטים במחשוב","בתוכנית זו נכללות, בין השאר, הפעולות הבאות: תקצוב החלפת מערכת הקשר מאנלוגית לדיגיטאלית, שדרוג טכנולוגיות, מחשוב אגפים ומחוזות, רכישת שירותי פיתוח.","בטחון פנים"
520117,"תוכנית הקמה ושיפוץ מבני משטרה","תוכנית זו מיועדת בעיקרה לתקצוב הקמת תחנות המשטרה והרחבתן.","בטחון פנים"
710,"שרות בתי הסוהר ","תחום זה משמש לתקציב השכר והקניות של שירות בתי הסוהר. ","בטחון פנים"
71001,"כח אדם","תוכנית זו מתקצבת את הוצאות השכר והנלוות של הסוהרים המשרתים בשרות בתי הסוהר: סוהרי קבע, סוהרי חובה ובני שירות לאומי ואזרחי.","בטחון פנים"
71007,"אמרכלות","בתוכנית זו נכללות, בין השאר, הפעולות הבאות: אחזקת בית ומסים, קניות רכיבי קשר ואלקטרוניקה, תחזוקה שוטפת של המחשוב, דואר, ציוד משרדי, דלק, בלאי, ביטוח ותיקוני כלי רכב, רכש והצטיידות, הוצאות משפטיות ודמי שימוש בנכסי מדינה.","בטחון פנים"
71009," שמירה וביטחון","בתוכנית זו נכללות, בין השאר, הפעולות הבאות: אחזקת אמצעי בטחון, אחזקת בעלי חיים, תפעול מערך המודיעין ורכש אמצעי ביטחון.","בטחון פנים"
71010," תעסוקה וייצור","תוכנית זו נועדה לתקצוב מערך תעסוקה של שרות בתי הסוהר אשר אחראי על ריכוז מכלול הטיפול בתעסוקת אסירים, הכשרה מקצועית לאסירים ותפעול מערך המפעלים היצרניים. המקור להוצאה המותנית הנו ההכנסה הנובעת ממכירת המוצרים לגורמי ממשלה, לגורמים ציבוריים ופרטיים.","בטחון פנים"
71014," אמרכלות סוהרים","בתוכנית זו נכללות, בין השאר, הפעולות הבאות: נסיעות וכלכלת סוהרים, הוצאות מדים, רווחה, תרבות והדרכה.","בטחון פנים"
71015," אמרכלות אסירים","בתוכנית זו נכללות, בין השאר, הפעולות הבאות: ביגוד, ציוד ומצרכים לאסירים, כלכלת אסירים, טיפול, חינוך ושיקום אסירים, קנטינה לאסירים, טיפול רפואי לאסירים. המקור להוצאה המותנית הוא ההכנסה ממכירות הקנטינה לאסירים.","בטחון פנים"
71502," גמלאות שרות בתי הסוהר","בתוכנית זו נכללות תשלומי גמלאות לפורשי שרות בתי הסוהר, מענקי פרישה ותשלומי היוון. 5203 תחום פעולה תקציב פיתוח בתי סוהר","בטחון פנים"
5203,"תחום פעולה תקציב פיתוח בתי סוהר","תחום זה משמש תקציב פיתוח של בתי סוהר. להלן תוכניות עיקריות:","בטחון פנים"
520321," קשר ומערכות מידע","תוכנית זו מיועדת לתקצוב הקמת מערכת מחשוב של שרות בתי הסוהר.","בטחון פנים"
520322," בינוי ותשתיות","תוכנית זו מיועדת לתקצוב הקמת בתי סוהר חדשים והקמת תשתיות.","בטחון פנים"
42,"תקציב הסיוע בדיור",,"הבינוי והשיכון"
4209,"מענקים וסבסוד ריבית","תחום הפעולה נועד לביצוע סיוע במשכנתאות ובמענקים ליוצאי אתיופיה ולנכים. התחום כולל את סבסוד האשראי והמענקים","הבינוי והשיכון"
7009,"הלוואות לרכישת דירה","תחום הפעולה נועד לביצוע סיוע במשכנתאות ובמענקים ליוצאי אתיופיה ולנכים. התחום כולל את האשראי נטו.","הבינוי והשיכון"
420901,"מבנה תקציב הסיוע לרכישת דירה ","תקציב זה נועד לביצוע סיוע לרכישת דירה לעולים חדשים חסרי דירה ולותיקים חסרי דירה- סבסוד ריבית ומענקים ליוצאי מרכז קליטה. הסיוע לותיקים חסרי דירה נקבע כאמור בהתאם לזכאות האישית.","הבינוי והשיכון"
700901,"מבנה תקציב הסיוע לרכישת דירה ","תקציב זה נועד לביצוע סיוע לרכישת דירה לעולים חדשים חסרי דירה ולותיקים חסרי דירה - סבסוד ריבית ומענקים ליוצאי מרכז קליטה. הסיוע לותיקים חסרי דירה נקבע כאמור בהתאם לזכאות האישית.","הבינוי והשיכון"
420913,"סיוע מיוחד","תוכנית זו מיועדת לכלל פעילויות הסיוע שאינן לחסרי דירה או סיוע ישיר במשכנתאות ובמענקים: ועדות חריגים, הועדה להקלה בהחזרי משכנתא בהתאם לחוק הלוואות לדיור, התשנ""ב-1992, וכן למימון הלוואות וסבסוד ריבית עבור תשלום שכר טרחת עו""ד, מענקים לרכישת דירות נכסי רכישה לנכים, סיוע לקיבוצים ומושבים, סיוע למפוני גוש קטיף, סיוע מיוחד לחסרי דירה הנשואים מעל 10 שנים (תוכנית 10+) וסיוע בהחזר משכנתא לקשישים.","הבינוי והשיכון"
700913,"סיוע מיוחד","תוכנית זו מיועדת לכלל פעילויות הסיוע שאינן לחסרי דירה או סיוע ישיר במשכנתאות ובמענקים: ועדות חריגים, הועדה להקלה בהחזרי משכנתא בהתאם לחוק הלוואות לדיור, התשנ""ב-1992, וכן למימון הלוואות וסבסוד ריבית עבור תשלום שכר טרחת עו""ד, מענקים לרכישת דירות נכסי רכישה לנכים, סיוע לקיבוצים ומושבים, סיוע למפוני גוש קטיף, סיוע מיוחד לחסרי דירה הנשואים מעל 10 שנים (תוכנית 10+) וסיוע בהחזר משכנתא לקשישים.","הבינוי והשיכון"
420916,"סיוע באיזורי עדיפות לאומית","סיוע מקום הינה תוספת סיוע מעבר לזכאות האישית לכל זכאי הרוכש דירה באיזורי עדיפות לאומית","הבינוי והשיכון"
700916,"סיוע באיזורי עדיפות לאומית","סיוע מקום הינה תוספת סיוע מעבר לזכאות האישית לכל זכאי הרוכש דירה באיזורי עדיפות לאומית","הבינוי והשיכון"
4212,"מענקי השתתפות בשכר דירה","מענקי השתתפות בשכר דירה מיועדים למימון סיוע בתשלום שכר דירה לאוכלוסיות אשר אין ביכולתן לממן את מלוא שכר הדירה וכן לסייע לעולים חדשים בקליטתם בארץ. ","הבינוי והשיכון"
421201,"מענקי השתתפות בשכר דירה","תוכנית זו מיועדת למימון סיוע בשכ""ד לעולים חדשים. ניתן להמיר את הסיוע בשכ""ד לסיוע בהחזר משכנתאות. בנוסף ישנו סיוע מוגדל לקשישים.","הבינוי והשיכון"
421203,"תושבים ותיקים","תוכנית זו מיועדת למימון סיוע בשכ""ד למשפחות זכאיות המתקיימות מהבטחת הכנסה או זכאים המתקיימים מקצבת אי כושר השתכרות בשיעור של %75 ויותר וכן משפחות הממצות כושר השתכרות והכנסתן נמוכה. ","הבינוי והשיכון"
4213,"עמלות ניהול הסיוע  ",,"הבינוי והשיכון"
421301,"עמלות ניהול תיקי שכר דירה","תוכנית זו מיועדת למימון עמלות ניהול תיקי שכר דירה. התשלום לבנקים למשכנתאות ולחברות המפעילות הינו בגין הטיפול בזכאים לסיוע בשכ""ד, אימות הזכאות והעברת הסיוע לזכאים. ","הבינוי והשיכון"
421302,"עמלות תיקי הלוואות","תוכנית זו מיועדת למימון עמלות ניהול תיקי הלוואות.  התשלום לבנקים למשכנתאות הינו בגין גביית החזרי הלוואות מוכוונות שניתנו ממקורות תקציביים או ממקורות בנקאיים.  ראוי לציין,  כי עמלות הניהול הינן בגין טיפול בסך כל האשראי המוכוון לדיור (כולל הלוואות משנים קודמות). לפיכך, אין לקשור בין היקף ההלוואות בשנת תקציב לבין התשלום לבנקים באותה שנה. ","הבינוי והשיכון"
70,"תקציב הפיתוח","תחום הפיתוח במשרד הבינוי והשיכון,  מתוקצב על בסיס הרשאה להתחייב,  הקובעת את מסגרת ההתחייבויות השנתית המותרת.  ההתחייבויות ממומנות בתקציב רב-שנתי,  ישיר ומותנה בהכנסות.  התקציב מופעל בהתאם למודל מימון הקובע את שיעור המימון הדרוש בכל שנה.","הבינוי והשיכון"
7067,"פעולות פיתוח",,"הבינוי והשיכון"
706701,"תכנון
","תוכנית זו מיועדת בעיקרו למימון תכנון תב""ע עבור אתרים בהם משווק משרד השיכון, מדידות עבור התכנון ולניהול ופיקוח על הפרויקטים באתרים אלו.","הבינוי והשיכון"
706702,"תשתיות לבנייה חדשה","תוכנית זו מיועדת להמשך פיתוח תשתיות באתרים ששווקו בין השנים 2010-1994 ולפיתוח תשתיות באתרים אשר ישווקו בשנים 2011-2012. מימון התוכנית הינו מהכנסות וסבסוד פיתוח. ","הבינוי והשיכון"
706703,"תשתיות לבנייה חדשה במגזרי המיעוטים","תוכנית זו מיועדת לביצוע תשתיות לבניה חדשה במגזרי המיעוטים. מימון התוכנית הינו מהכנסות וסבסוד פיתוח.","הבינוי והשיכון"
706704,"דיור לקשיש","תוכנית זו מיועדת למימון ניהול בתי גיל הזהב  וכן לתחזוקה שיטתית של מבנים אלו. בתי גיל הזהב מנוהלים על ידי חברת עמיגור (יחידות דיור שבבעלותה) ועל ידי חברות משכנות שזכו במכרזי ניהול","הבינוי והשיכון"
706713,"תקן מוסדות ציבור ","תוכנית זו מיועדת למימון הקמת מוסדות ציבור עבור הבנייה החדשה (משנת 1995 ואילך) בהתאם לתקן ברודט. מוסדות ציבור הינם מגרשי ספורט, מתנ""סים קהילתיים, מעונות יום, בתי כנסת ומקוואות. ","הבינוי והשיכון"
7069,"פעולות שוטפות",,"הבינוי והשיכון"
706901,"רכישת דירות נכסי רכישה","תוכנית זו מיועדת לרכישת דירות נ""ר לנכים רתוקים או משפחות רב מצוקתיות. הדירה נרכשת על ידי המדינה ומצטרפת למלאי הדירות בדיור הציבורי.","הבינוי והשיכון"
706903,"שיקום שכונות והשלמת פיתוח בשכונות ותיקות","תוכנית זו מיועדת למימון פעולות שיקום שכונות פיזי ב-37 שכונות ברחבי הארץ. ","הבינוי והשיכון"
706904,"פיתוח ותשתיות ביישובי המיעוטים","תקציב זה מאגם את כל המשאבים המופנים לתמיכה במגזרי המיעוטים וכולל תקציבים המיועדים להשלמת מוסדות ציבור, שיקום שכונות ופיתוח תשתיות במגזר הערבי, הבדואי, הדרוזי והצ'רקסי.  ","הבינוי והשיכון"
706906,"פינויים","תוכנית זו מיועדת לפינויים כלכליים באתרים המיועדים לשיווק מחדש.  תקציב זה ממומן ע""י מינהל מקרקעי ישראל.","הבינוי והשיכון"
706908,"חידוש החזקה והרחבת דירות בניהול חברות משכנות ומאכלסות","תוכנית זו מיועדת לחידוש,  אחזקה והרחבה של דירות בניהול חברות משכנות ומאכלסות וכולל את התחומים הבאים: שיפוץ לאכלוס חוזר של דירות ציבוריות המנוהלות ע""י חברות מאכלסות כגון: עמיגור, שקמונה, חלד, פרזות, חלמיש ועמידר, וכן שיפוץ ואחזקה בדירות הציבוריות בהתאם לחוק זכויות הדייר בדיור הציבורי.","הבינוי והשיכון"
706909,"בנייה כפרית","תוכנית זו מיועדת למימון פעולות הפיתוח בבנייה הכפרית בדומה לתוכנית תשתיות לבנייה חדשה. ","הבינוי והשיכון"
706910,"פיתוח מערכות מידע","תקציב האגף למערכות מידע עומד על 10 מיליון ש""ח בהרשאה להתחייב בכל אחת משנות התקציב 2011-2012.","הבינוי והשיכון"
706911,"פעולות שונות","תוכנית זו נועדה לביצוע פעולות שונות בתחום הפיתוח ועיקרן תשלום פסקי דין, ביצוע החלטות ממשלה שונות ומיגון שדרות ועוטף עזה. ","הבינוי והשיכון"
706914,"אבטחה במזרח ירושלים","תוכנית זו נועדה נועדה למימון אבטחת מזרח ירושלים שבאחריות משרד השיכון.","הבינוי והשיכון"
706926,"מבצע מכירת דירות הדיור הציבורי לבעליהן","התקציב מיועד למימון הפעלת מכר הדיור הציבורי, ובכלל זה עמלות לחברות המשכנות, שיפוי הסוכנות היהודית בהתאם להסכם שבין הסוכנות לבין המדינה בדבר קניית הדירות שבבעלות הסוכנות על ידי המדינה.","הבינוי והשיכון"
706927,"הסכם עמידר","התוכנית נועדה למימון הסכמי ניהול דירות הדיור הציבורי עם החברות המשכנות איתן יש למשרד הסכם ניהול. הסכמי הניהול הינם הסכמים מסודרים המחליפים הסדרים היסטוריים בין החברות לבין המדינה. ","הבינוי והשיכון"
706928,"הסכם שקמונה","התוכנית נועדה למימון הסכמי ניהול דירות הדיור הציבורי עם החברות המשכנות איתן יש למשרד הסכם ניהול. הסכמי הניהול הינם הסכמים מסודרים המחליפים הסדרים היסטוריים בין החברות לבין המדינה. ","הבינוי והשיכון"
706934,"הסכם עמיגור","התוכנית נועדה למימון הסכמי ניהול דירות הדיור הציבורי עם החברות המשכנות איתן יש למשרד הסכם ניהול. הסכמי הניהול הינם הסכמים מסודרים המחליפים הסדרים היסטוריים בין החברות לבין המדינה. ","הבינוי והשיכון"
706932,"ישן מול חדש","תוכנית זו נועדה למימון פעילות פיתוח בחלקים הותיקים של יישוב בו מתבצעת פעילות שיווק ופיתוח על ידי המשרד. התוכנית ממומנת מגביית היטל ישן מול חדש.","הבינוי והשיכון"
706933,"ריכוז מאמץ","תוכנית זו נועדה לשיקום ושיפור המרקם הקיים ב-10 יישובים בפריפריה שנבחרו על פי קריטריונים שגובשו על ידי צוות משותף למשרדי השיכון והאוצר. ","הבינוי והשיכון"
7070,"פרוייקטים מיוחדים  - פיתוח במסגרת משק כספי סגור  ","בהתאם להחלטת הממשלה בדבר ניהול הפיתוח באתרים המשווקים על ידי משרד הבינוי והשיכון באמצעות משק תקציבי סגור, נפתחו בשלב זה תוכניות לניהול הפיתוח והשיווק במתכונת זו במספר פרוייקטים משמעותיים:","הבינוי והשיכון"
707002,"מודיעין
","התוכנית מיועדת לפיתוח האתרים בעיר מודיעין וביניהם ""בוכמן דרום"", ""ציפור צפון"", ""איחוד אתרים"" ""מע""ר"", ""קייזר"" ותשתיות ראש שטח.","הבינוי והשיכון"
707003,"אלעד
","התוכנית מיועדת לפיתוח העיר אלעד. עד עתה שווקו באלעד בשלבים א'  ו-ב'  כ-7,000 יח""ד  ובשנת 2011 מיועדות לשיווק 60 יח""ד נוספות וכן שטחי מסחר.","הבינוי והשיכון"
707005,"מעלה אדומים","התוכנית מיועדת לפיתוח העיר מעלה אדומים.  בשנת 2011 צפויות לשיווק 200 יח""ד במסגרת שלב ג'  של הפרוייקט וכן השלמות עבודות תשתית.","הבינוי והשיכון"
707006,"ראש העין","שיווק יח""ד הדיור בראש העין יחל ברבעון אחרון 2010. במסגרת שלב א סוכם על שיווק 2,000 יח""ד. שלב ב' מונה כ-4,500 יח""ד. ","הבינוי והשיכון"
707007,"חומת שמואל","התוכנית מיועדת לפיתוח שכונת חומת שמואל. בשנת 2011 צפוי שיווקן של 500 יח""ד נוספות. ","הבינוי והשיכון"
707009,"יבנה
","התוכנית של האתר מיועדות לשיווק 2,900 יח""ד, עד כה שווקו כ- 1,500 יח""ד ובשנים 2011-2012 צפוי שיווקן של כ-1,000 יח""ד נוספות. ","הבינוי והשיכון"
707011,"חריש
","בחריש מתוכנן בשנים 2011-2012 שיווק בהיקף של 5,600 יח""ד וייתכן כי בשנים אלו,  בהתאם לקצב השיווק ישווקו יחידות נוספות. במהלך שנת 2010 סיכמו משרדי השיכון והאוצר על תחילת תכנון לביצוע בעיר חריש. ","הבינוי והשיכון"
7071,"התנתקות","מימון תוכנית התנתקות מורכב מתקציבי משרדי ממשלה שונים בהתאם להחלטות ממשלה להקמת כל יישוב ויישוב. מתכונת הקמת היישובים הינה באמצעות הסכם העתקה פרטני שנחתם עם הקהילה או פיתוח במתכונת של משק סגור.","הבינוי והשיכון"
7072,"מימון תוכנית המשכית ",,"הבינוי והשיכון"
707226,"מימון התחייבויות עד שנת 2006","תוכנית זו נועדה למימון התחייבויות משנים קודמות שבוצעו בתקציב משרד הבינוי והשיכון וטרם שולמו. כלומר, חוזים אשר נחתמו עד שנת 2006,  הרשאה להתחייב בגינם חויבה,  וקצב התשלום במזומן לספק מתבצע כעת לאורך מספר שנים. ","הבינוי והשיכון"
43,"המרכז למיפוי ישראל",,"הבינוי והשיכון"
4301,"תחום פעולה כללי",,"הבינוי והשיכון"
430101,"שכר
","תוכנית זו נועדה למימון שכר עובדי המרכז","הבינוי והשיכון"
430105,"עבודות עבור גורמי חוץ","תוכנית זו מיועדת ללמימון ביצוע עבודות מדידה ע""י גורמי חוץ שונים.","הבינוי והשיכון"
430102,"הוצאות אמרכלות, מחשוב ואחרות","התכנית נועדה להוצאות כלליות של המרכז,  שדרוג ואחזקה של מערכות המחשוב שלו ומימון המשימות במסגרת הוועדה הבינמשרדית להאצת הרישום בספרי המקרקעין. ","הבינוי והשיכון"
430103,"הוצאות אמרכלות, מחשוב ואחרות","התכנית נועדה להוצאות כלליות של המרכז,  שדרוג ואחזקה של מערכות המחשוב שלו ומימון המשימות במסגרת הוועדה הבינמשרדית להאצת הרישום בספרי המקרקעין. ","הבינוי והשיכון"
430108,"הוצאות אמרכלות, מחשוב ואחרות","התכנית נועדה להוצאות כלליות של המרכז,  שדרוג ואחזקה של מערכות המחשוב שלו ומימון המשימות במסגרת הוועדה הבינמשרדית להאצת הרישום בספרי המקרקעין. ","הבינוי והשיכון"
430114,"הוצאות אמרכלות, מחשוב ואחרות","התכנית נועדה להוצאות כלליות של המרכז,  שדרוג ואחזקה של מערכות המחשוב שלו ומימון המשימות במסגרת הוועדה הבינמשרדית להאצת הרישום בספרי המקרקעין. ","הבינוי והשיכון"
80101,"הנהלת המשרד ","תכנית זו נועדה לתקצב את הנהלת המשרד כוללת את העובדים ביחידות המטה, לרבות העובדים בלשכת השר, לשכת היועץ המשפטי לממשלה, לשכת המנכ״ל, העובדים הארעיים של המשרד והמתמחים. ההנהלה מבצעת פעולות ונותנת שירותים לכלל העובדים במשרד במסגרת תכנית זו. בנוסף, בתכנית ניהול ומטה קיים תקציב עבור המכון להשתלמות פרקליטים ויועצים משפטים.","המשפטים"
80102,"ייעוץ משפטי לממשלה","תכנית זו נועדה לתקצב את אגף היועץ המשפטי לממשלה, כמו גם את המחלקות השונות תחתיו (כגון מחלקת פניות ציבור, הוועדה להשתתפות המדינה בהוצאות הגנה לעובדי ציבור, המחלקה לקשרי חוץ וארגונים בינלאומיים ועוד).","המשפטים"
80103,"אגף אמרכלות","תכנית זו נועדה לתקצב את אגף האמרכלות הכולל את המחלקות הבאות: משאבי אנוש; תכנון, תקצוב וארגון; מערכות מידע; הדרכה; מתמחים; בטחון; בינוי אפסנאות ומשק; ביקורת פנימית; שירותי רווחה;  כספים וחשבונות. התכנית נועדה לתקצב את פעילות המחלקות המתוארות לעיל","המשפטים"
80104,"סיוע משפטי","התכנית נועדה לתקצב את מחלקת הסיוע המשפטי, המספקת מתן סיוע משפטי בנושאים אזרחיים לזכאים בהתאם להוראות החוק.","המשפטים"
80105,"רשות למשפט וטכנולוגיה","התכנית נועדה לתקצב את פעילות הרשות בתחומי שיפור התשתית החוקית והתאמתה למציאות הטכנולוגית המתקדמת; הסדרת החקיקה בנושא חתימה אלקטרונית ואכיפה בתחומי עבירות על הגנת - ז - הפרטיות. בנוסף, נועדה התכנית לתקצוב יישום הוראות חוק הגנת הפרטיות, התשמ׳׳א - 1981 על ידי הרשות.","המשפטים"
80106,"סנגוריה ציבורית","התכנית נועדה לתקצב את פעילות הסניגוריה הציבורית - המספקת שירותים משפטיים לעצורים ולנאשמים בהליכים פליליים הזכאים לכך בהתאם להוראות החור.","המשפטים"
80107,"הרשות לאיסור הלבנת הון ומימון טרור","התכנית נועדה לתקצב את פעילות הרשות ואת ניהול מאגר המידע המנוהל על ידי הרשות בנושאים המנויים בחוק.","המשפטים"
80110,"מנהלת יחידות מקצועיות","התוכנית נועדה לתקצוב הפעילות ביחידות הבאות: 1) רשם המתווכים; 2) ועדת עזבונות לטובת המדינה; 3) מועצת רואי חשבון; 4) מועצת שמאי מקרקעין; 5) הועדה לרישוי חוקרים פרטיים.; ","המשפטים"
802,"פרקליטות המדינה","תחום זה נועד לתקצוב פעילותה של פרקליטות המדינה. פרקליטות המדינה מעסיקה כ-840 פרקליטים, ותחום זה כולל הן את סעיפי השכר עבורם ועבור העובדים המנהליים בפרקליטות והן את תקציב התפעול, האחזקה והקניות של הפרקליטות.","המשפטים"
803,"רישום ניהול רכוש ושומה",,"המשפטים"
80301,"אגף רישום והסדר מקרקעין","תוכנית זו נועדה לתקצוב אגף רישום והסדר מקרקעין (טאבו), אשר נועד להסדיר את ענייני הקניין והבעלות במקרקעין בישראל.","המשפטים"
80302,"רשות הפטנטים, המדגמים וסימני המסחר","תוכנית זו נועדה לתקצוב פעילות רשות הפטנטים, בתחומי בחינת והסדרתהפטנטים. ","המשפטים"
80304,"אגף האופוטרופוס הכללי וכונס הנכסים הרשמי","תוכנית זו נועדה לתקצוב אגף אגף האפוטרופוס הכללי וכונס הנכסים הרשמי בפעולותיו המתוארות בהרחבה בפרק א'. ","המשפטים"
80307,"רשות התאגידים הכוללת את רשם החברות, השותפויות, שמות העסק, המשכונות, המפלגות וההקדשות ורשם העמותות;","תוכנית זו נועדה לתקצב את רשות התאגידים, על גופיה השונים המתוארים בהרחבה בפרק א'. ","המשפטים"
804,"מיכון משפטים","תחום זה נועד לתקצוב מערכות המידע הממוחשבות הפועלות ביחידות המשרד.","המשפטים"
805,"המחלוקה לחקירות שוטרים","תחום זה נועד לתקצוב פעילות המחלקה לחקירות שוטרים.","המשפטים"
806,"רזרבה להתייקרויות ולעמידה ביעד ההוצאה","בתחום זה מתוקצבות הרזרבה להתייקרויות שכר והרזרבה לעמידה ביעד ההוצאה של תקציבי הקניות. ","המשפטים"
807,"בתי דין שרעיי ודרוזים","תחוד זה נועד לתקצוב פעילות בתי הדין השרעיים והדרוזים בישראל.","המשפטים"
808,"בתי הדין הרבניים","תחום זה נועד לתקצוב פעילות בתי הדין הרבניים בישראל.","המשפטים"
820,"מערכת בתי המשפט","תחום זה נועד לתקצוב מערכת בתי המשפט בישראל.","המשפטים"
82001,"הנהלת בתי המשפט","הנהלת בתי המשפט אחראית להפעלתן התקינה של הערכאות השיפוטיות. התוכנית כוללת את הנושאים התפעוליים הקשורים בהפעלת בתי המשפט ונושאים, אשר מטופלים באופן ריכוזי בפריסה ארצית.","המשפטים"
